Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,668227,682227,field_out,R,93.3,41,1.3983715799525096,SEA
2026,680977,682227,single,L,103.7,12,-25.72027136084424,SEA
2026,663886,669923,single,R,94.7,9,26.535123898779492,SEA
2026,701398,669923,double,R,109.6,12,-22.853746109713896,SEA
2026,682829,669923,field_out,L,99.0,-34,-46.1739699646101,SEA
2026,668715,669923,field_out,R,107.6,4,4.617046976063457,SEA
2026,680574,669923,home_run,R,104.3,22,-10.17447704927878,SEA
2026,694930,682227,field_out,L,91.0,-8,-10.131173304108966,SEA
2026,660844,682227,field_out,R,102.5,18,-35.73495511296899,SEA
2026,694362,669923,field_out,R,106.5,-32,-8.036469342154398,SEA
2026,663647,669923,field_out,R,83.2,25,32.30986657683844,SEA
2026,677956,669923,field_out,R,77.5,58,23.22054840524671,SEA
2026,702284,682227,field_out,L,88.6,-6,-47.649153145561634,SEA
2026,608701,682227,field_out,R,96.2,19,24.636458109168363,SEA
2026,670042,682227,field_out,L,92.9,63,23.603756127760306,SEA
2026,680977,682227,single,L,99.3,-12,-4.578745923865415,SEA
2026,682622,669923,force_out,R,102.6,-20,7.305465878969417,SEA
2026,682829,669923,field_out,L,105.8,14,27.867785299154825,SEA
2026,668715,669923,double,R,98.4,19,42.497179526852726,SEA
2026,680574,669923,single,R,59.3,-69,-51.58634987669059,SEA
2026,668876,687317,single,R,83.5,-13,-44.736537358216935,LAA
2026,669326,687317,single,R,108.9,-5,3.0805682562513472,LAA
2026,703194,687317,field_out,R,102.6,38,12.633000117467509,LAA
2026,691182,696519,field_out,R,71.4,46,29.67823895477855,LAA
2026,605353,696519,double,L,107.3,18,-23.99162230029308,LAA
2026,570560,678020,grounded_into_double_play,L,69.5,7,8.9027625065731,LAA
2026,665861,678020,field_out,R,97.3,14,26.007416757879323,LAA
2026,664954,680704,field_out,L,100.7,27,0.3916403639259101,LAA
2026,694249,680704,sac_fly,L,92.5,38,6.240535647542931,LAA
2026,686668,680704,force_out,R,,,-11.511018696964323,LAA
2026,696100,680704,single,R,58.4,-23,-20.677634043402556,LAA
2026,641820,623474,field_out,R,72.8,9,-43.54484984333391,LAA
2026,668876,657514,home_run,R,101.0,29,-33.1959842551933,LAA
2026,669326,657514,sac_bunt,R,35.0,-47,39.62475660924281,LAA
2026,642350,657514,single,R,93.4,13,18.333441527104128,LAA
2026,664983,519326,single,L,68.7,59,46.940002560505626,LAA
2026,670032,519326,field_out,L,63.8,-47,-34.51324070878223,LAA
2026,665861,677955,field_out,R,62.8,-7,-29.667457442750102,LAA
2026,691720,605447,field_out,R,93.4,64,33.7220188217332,LAA
2026,690924,605447,field_out,R,99.2,23,24.448982695976955,LAA
2026,687597,605447,field_out,R,96.5,47,-13.217246415227695,LAA
2026,641820,605154,field_out,R,88.0,27,-23.153936477379936,LAA
2026,600869,605154,home_run,L,105.3,29,-19.784891185450675,LAA
2026,624428,605154,field_out,L,86.9,61,20.884177458792465,LAA
2026,624585,605154,double,R,94.4,31,49.17104013101502,LAA
2026,669326,605154,field_out,R,93.3,38,-9.463635262293428,LAA
2026,686668,681217,field_out,R,68.3,-45,9.94330938925635,LAA
2026,681198,681217,field_out,L,92.2,-9,-23.89042806756572,LAA
2026,696100,681217,field_out,R,111.8,18,-29.800415533296334,LAA
2026,570560,685299,sac_bunt,L,20.8,-14,110.6806913888168,LAA
2026,621035,685299,single,R,36.7,-40,-47.06776781634265,LAA
2026,518595,685299,field_out,R,101.3,19,37.72436064976042,LAA
2026,664983,489446,field_out,L,87.2,55,49.930487665034995,LAA
2026,670032,489446,field_out,L,92.7,52,4.607122255430713,LAA
2026,641820,685299,field_out,R,102.2,-4,-42.411316468083754,LAA
2026,600869,685299,field_out,L,97.8,-18,-3.6216120611846394,LAA
2026,624428,685299,single,L,73.7,23,-19.233702357951334,LAA
2026,624585,685299,single,R,61.2,37,31.379617671288642,LAA
2026,669326,685299,field_out,R,31.0,-59,24.108515899975313,LAA
2026,691720,676502,single,R,99.2,6,-36.84202327221578,LAA
2026,690924,676502,field_out,R,85.7,36,-15.965069601312244,LAA
2026,681198,519141,field_out,L,84.3,45,-17.557784092530564,LAA
2026,696100,519141,home_run,R,111.3,35,0.9438621945031469,LAA
2026,664983,519141,single,L,37.0,-11,-18.99665415548856,LAA
2026,570560,685299,field_out,L,87.8,66,18.40351943522796,LAA
2026,621035,685299,field_out,R,87.0,26,-1.1264953613141377,LAA
2026,641820,685299,double,R,108.7,20,10.267733970692875,LAA
2026,670032,803135,field_out,L,94.0,6,-23.89042806756572,LAA
2026,691720,803135,field_out,R,100.5,48,34.061538508068175,LAA
2026,690924,803135,fielders_choice_out,R,87.0,-13,-27.73214606971528,LAA
2026,687597,803135,double,R,99.3,22,-0.5103924197928249,LAA
2026,686668,803135,single,R,104.9,5,-33.86684261553707,LAA
2026,624428,685299,field_out,L,99.0,-1,-41.904982325300686,LAA
2026,681198,803135,field_out,L,85.5,4,-47.478009167018634,LAA
2026,666397,803135,field_out,L,108.5,17,-1.527525442212926,LAA
2026,664983,803135,single,L,103.7,9,-3.788938839178888,LAA
2026,542194,703821,single,R,99.0,1,-5.937815448901841,CHC
2026,668776,703821,home_run,R,103.5,30,-28.719803644294686,CHC
2026,821113,801317,field_error,L,64.7,-2,14.726368812663935,CHC
2026,800370,805291,field_out,L,98.7,-9,-25.564790005687822,CHC
2026,701618,656686,triple,R,107.2,17,19.479558763769496,CHC
2026,811716,656686,single,L,84.6,4,-31.753802634287098,CHC
2026,680837,656686,single,L,108.1,-14,20.781792469612807,CHC
2026,805062,681520,double,R,103.4,20,23.92623421196193,CHC
2026,668776,681520,field_out,R,101.2,-1,-20.113702584154943,CHC
2026,672279,657097,field_out,L,73.0,-9,-52.585599808085504,CHC
2026,696486,657097,double,L,95.7,8,43.264920958651786,CHC
2026,811716,657097,field_out,L,83.5,75,68.26435007103542,CHC
2026,814131,682087,field_out,L,99.2,-4,29.09286013518306,CHC
2026,680911,682087,double,R,101.1,4,-43.51732606973605,CHC
2026,687221,664208,grounded_into_double_play,L,86.4,4,-26.318420343021046,CHC
2026,699393,694361,field_out,L,99.0,1,4.7514999842983645,CHC
2026,665804,694361,field_out,R,106.8,16,-3.734917188767502,CHC
2026,608348,694361,double,R,102.7,24,25.02137741763642,CHC
2026,669743,573204,field_out,R,84.6,54,-36.66580708392137,CHC
2026,808975,573204,field_out,L,85.1,31,8.2496681835338,CHC
2026,672279,573204,field_out,L,94.3,-2,24.522413338975586,CHC
2026,621020,669165,field_out,R,81.5,-57,-36.3425643231165,CHC
2026,664023,669165,field_out,L,74.4,38,19.394846251728932,CHC
2026,683737,669165,field_out,L,107.0,-19,-28.55223580037672,CHC
2026,701394,571948,field_out,R,86.5,37,34.57014876694698,CHC
2026,669261,571948,field_out,L,104.4,9,-27.042884169358132,CHC
2026,699393,669165,field_out,L,76.0,32,-18.529340466543193,CHC
2026,665804,686218,field_out,R,81.6,9,32.61294621663386,CHC
2026,624424,686218,field_out,L,103.2,-11,-40.333671296588236,CHC
2026,669289,680724,field_out,R,99.3,-27,-31.06562464326824,CHC
2026,687221,680724,field_out,L,108.4,8,-29.562373474789723,CHC
2026,605141,592791,field_out,R,84.4,61,-23.360006970191513,CHC
2026,669743,592791,single,R,88.6,7,27.854967361134204,CHC
2026,808975,592791,single,L,73.4,16,-30.030403496181968,CHC
2026,608348,686218,field_out,R,99.0,48,0.30004550066845137,CHC
2026,621020,686218,field_out,R,104.3,-6,-26.93537885162409,CHC
2026,664023,686218,field_out,L,98.7,47,0.18061498850080837,CHC
